x index;y index;crate;board;order;MEZ CH#;FEE CH#;PHY;Count;Holder;CableType;FEE-LEFT;;;;FEE-RIGHT;;;;
2;10;1;3;13;4;2;0;455;H0048;17;0;4;2;;9;4;2;;
3;10;1;3;12;3;5;0;456;H0053;;0;3;5;;9;3;5;;
4;10;1;3;11;3;4;0;457;H0250;;0;3;4;;9;3;4;;
5;10;1;3;10;3;3;0;458;H0254;;0;3;3;;9;3;3;;
6;10;1;4;2;1;3;0;459;H0287;;0;1;3;;9;1;3;;
7;10;1;4;1;1;2;0;460;H0337;22;0;1;2;;9;1;2;;
8;10;1;4;20;5;5;1;461;H0318;;0;5;5;;9;5;5;;
9;10;1;4;19;5;4;1;462;H0365;;0;5;4;;9;5;4;;
10;10;1;4;18;5;3;1;463;H0291;;0;5;3;;9;5;3;;
11;10;1;3;11;3;4;1;464;H0289;;0;3;4;;9;3;4;;
12;10;1;3;10;3;3;1;465;H0362;;0;3;3;;9;3;3;;
13;10;1;3;9;3;2;1;466;H0222;17;0;3;2;;9;3;2;;
14;10;1;3;8;2;5;1;467;H0283;;0;2;5;;9;2;5;;
15;10;1;3;7;2;4;1;468;H0358;;0;2;4;;9;2;4;;
0;11;1;2;19;5;4;0;437;H0326;;0;5;4;;9;5;4;;
1;11;1;2;18;5;3;0;438;H0107;;0;5;3;;9;5;3;;
2;11;1;2;17;5;2;0;439;H0018;13;0;5;2;;9;5;2;;
3;11;1;3;9;3;2;0;440;H0230;17;0;3;2;;9;3;2;;
4;11;1;3;8;2;5;0;441;H0331;;0;2;5;;9;2;5;;
5;11;1;3;7;2;4;0;442;H0260;;0;2;4;;9;2;4;;
6;11;1;3;6;2;3;0;443;H0246;;0;2;3;;9;2;3;;
7;11;1;3;5;2;2;0;444;H0436;19;0;2;2;;9;2;2;;
8;11;1;3;16;4;5;1;445;H0052;;0;4;5;;9;4;5;;
9;11;1;3;15;4;4;1;446;H0046;;0;4;4;;9;4;4;;
10;11;1;3;14;4;3;1;447;H0078;;0;4;3;;9;4;3;;
11;11;1;3;13;4;2;1;448;H0111;19;0;4;2;;9;4;2;;
12;11;1;3;12;3;5;1;449;H0012;;0;3;5;;9;3;5;;
13;11;1;2;4;1;5;1;450;H0051;;0;1;5;;9;1;5;;
14;11;1;2;3;1;4;1;451;H0044;;0;1;4;;9;1;4;;
15;11;1;2;2;1;3;1;452;H0076;;0;1;3;;9;1;3;;
0;12;1;2;16;4;5;0;421;H0020;;0;4;5;;9;4;5;;
1;12;1;2;15;4;4;0;422;H0013;;0;4;4;;9;4;4;;
